id,author,title,gender,isbn,release_date,origin,description
68,Harry Potter and the Deathly Hallows,"Rowling, J.K.",F,978-1408855713,2014,International,"&lt;p&gt;As he climbs into the sidecar of Hagrid's motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind. The protective charm that has kept Harry safe until now is now broken, but he cannot keep hiding. The Dark Lord is breathing fear into everything Harry loves, and to stop him Harry will have to find and destroy the remaining Horcruxes. The final battle must begin – Harry must stand and face his enemy.&lt;/p&gt;&lt;p&gt;These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON …&lt;/p&gt;"
69,Harry Potter and the Philosopher's Stone,"Rowling, J.K.",F,978-1408855652,2014,International,"&lt;p&gt;Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure isabout to begin!&lt;/p&gt;&lt;p&gt;These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON …&lt;/p&gt;"
70,Harry Potter and the Order of the Phoenix,"Rowling, J.K.",F,978-1551927503,2005,International,"<![CDATA[J. K. Rowling has written a brilliant and utterly compelling new adventure that is one third longer than Harry Potter and the Goblet of Fire. Harry Potter and the Order of the Phoenix continues the riveting tale of a 15-year-old wizard and his extraordinary powers. J. K. Rowling has written a brilliant and utterly compelling new adventure that is one third longer than Harry Potter and the Goblet of Fire. ""A richly imagined world to which young readers will surrender themselves, and one of the most attractive heroes to come around in a long time.""-Globe and Mail]]>"
71,Harry Potter and the Goblet of Fire,"Rowling, J.K.",F,978-1551927503,2005,International,"<![CDATA[J. K. Rowling has written a brilliant and utterly compelling new adventure that is one third longer than Harry Potter and the Goblet of Fire. Harry Potter and the Order of the Phoenix continues the riveting tale of a 15-year-old wizard and his extraordinary powers. J. K. Rowling has written a brilliant and utterly compelling new adventure that is one third longer than Harry Potter and the Goblet of Fire. ""A richly imagined world to which young readers will surrender themselves, and one of the most attractive heroes to come around in a long time.""-Globe and Mail]]>"
72,Anthony Burgess,A Clockwork Orange,M,9780141182605,1962,International,"A Clockwork Orange is a dystopian satirical black comedy novel by English writer Anthony Burgess, published in 1962. It is set in a near-future society that has a youth subculture of extreme violence. The teenage protagonist, Alex, narrates his violent exploits and his experiences with state authorities intent on reforming him. The book is partially written in a Russian-influenced argot called ""Nadsat"", which takes its name from the Russian suffix that is equivalent to '-teen' in English. According to Burgess, it was a jeu d'esprit written in just three weeks.In 2005, A Clockwork Orange was included on Time magazine's list of the 100 best English-language novels written since 1923, and it was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. The original manuscript of the book has been located at McMaster University's William Ready Division of Archives and Research Collections in Hamilton, Ontario, Canada since the institution purchased the documents in 1971."
73,Paul Bowles,The Sheltering Sky,M,9780062351487,1949,International,"A landmark of twentieth-century literature. Paul Bowles examines the ways in which Americans' incomprehension of alien cultures leads to the ultimate destruction of those cultures. A story about three American travelers adrift in the cities and deserts of North Africa after World War II, The Sheltering Sky explores the limits of humanity when it touches the unfathomable emptiness and impassive cruelty of the desert."
74,E.M. Forster,A Passage to India,M,9780241214992,1924,International,"A Passage to India is a must-read for those avid to dive and day-dream in an epic narrative. Set in the 1920s during the period of the English Raj and the Indian Independence Movement, the story tells us about the interactions of four main characters - Dr. Aziz, Mr. Cyril Fielding, Mrs. Moore, and Miss Adela Quested - during a trip to a fictitious place called Marabar Caves. This fantastic novel is based on the author's own experiences in India and borrows its title from a homonym Walt Whitman's poem published in his famous Leaves of Grass. It is considered one of the 100 great works of the 20th century English literature, winner of the 1924 James Tait Black Memorial Prize in the fiction category, and with a film adaption (1984) by the director David Lean."
77,James M. Cain,The Postman Always Rings Twice,M,9780679723257,1934,International,"An amoral young tramp.  A beautiful, sullen woman with an inconvenient husband.  A problem that has only one grisly solution--a solution that only creates other problems that no one can ever solve.&lt;br&gt;&lt;br&gt;First published in 1934 and banned in Boston for its explosive mixture of violence and eroticism, &lt;b&gt;The Postman Always Rings Twice&lt;/b&gt; is a classic of the &lt;i&gt;roman noir&lt;/i&gt;. It established James M. Cain as a major novelist with an unsparing vision of America's bleak underside, and was acknowledged by Albert Camus as the model for &lt;i&gt;The Stranger&lt;/i&gt;."
84,E.M. Forster,Howards End,M,9781490507187,1910,International,"Considered by many to be Forster's masterpiece, ""Howards End"" was ranked 38th in the Modern Library listing of the best English novels of the 20th century. Interplaying characters from three very different families, Forster beautifully defines the conditions of class, culture, gender roles and politics that were prevalent in the years before World War I, sensitively exploring themes of connection, the seen and the unseen, and the essential proportion of inner and outer life."
86,Miguel De Cervantes,Don Quixote,M,9780142437230,1605,International,"Don Quixote has become so entranced reading tales of chivalry that he decides to turn knight errant himself. In the company of his faithful squire, Sancho Panza, these exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together-and together they have haunted readers' imaginations for nearly four hundred years. With its experimental form and literary playfulness, Don Quixote has been generally recognized as the first modern novel. This Penguin Classics edition, with its beautiful new cover design, includes John Rutherford's masterly translation, which does full justice to the energy and wit of Cervantes's prose, as well as a brilliant critical introduction by Roberto Gonzalez Echevarriá."
89,Aldous Huxley,Brave New World,M,9780307356543,1932,International,"Far in the future, the World Controllers have created the ideal society. Through clever use of genetic engineering, brainwashing and recreational sex and drugs, all its members are happy consumers. Bernard Marx seems alone in feeling discontent. Harbouring an unnatural desire for solitude, and a perverse distaste for the pleasure of compulsory promiscuity, Bernard has an ill-defined longing to break free. A visit to one of the few remaining Savage Reservations, where the old, imperfect life still continues, may be the cure for his distress.… Huxley’s ingenious fantasy of the future sheds a blazing light on the present and is considered to be his most enduring masterpiece."
93,Norman Mailer,The Naked and The Dead,M,9780312265052,1948,International,"Hailed as one of the finest novels to come out of the Second World War, The Naked and the Dead received unprecedented critical acclaim upon its publication and has since become part of the American canon. This fiftieth anniversary edition features a new introduction created especially for the occasion by Norman Mailer. Written in gritty, journalistic detail, the story follows an army platoon of foot soldiers who are fighting for the possession of the Japanese-held island of Anopopei. Composed in 1948, The Naked and the Dead is representative of the best in twentieth-century American writing."
94,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",F,978-1551927046,2004,International,"Harry Potter is a very unusual boy. He can't wait to get back to school after the Summer holidays! But that's not the only unusual thing about Harry; Harry's school is Hogwarts School of Witchcraft and Wizardry, and Harry is a wizard! But when Harry, along with his best friends Ron and Hermione, go back for their third year at Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school ."
95,Harry Potter and the Chamber of Secrets,"Rowling, J.K.",F,978-0747562184,2011,International,"Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true."
105,Harry Potter and the Half-blood Prince,"Rowling, J.K.",F,978-1551929859,2007,International,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Durselys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine"
107,Kurt Vonnegut,Slaughterhouse-Five,M,9780440180296,1969,International,"Kurt Vonnegut's absurdist classic Slaughterhouse-Five introduces us to Billy Pilgrim, a man who becomes unstuck in time after he is abducted by aliens from the planet Tralfamadore. In a plot-scrambling display of virtuosity, we follow Pilgrim simultaneously through all phases of his life, concentrating on his (and Vonnegut's) shattering experience as an American prisoner of war who witnesses the firebombing of Dresden. Don't let the ease of reading fool you--Vonnegut's isn't a conventional, or simple, novel. He writes, ""There are almost no characters in this story, and almost no dramatic confrontations, because most of the people in it are so sick, and so much the listless playthings of enormous forces. One of the main effects of war, after all, is that people are discouraged from being characters..."" Slaughterhouse-Five (taken from the name of the building where the POWs were held) is not only Vonnegut's most powerful book, it is as important as any written since 1945. Like Catch- 22, it fashions the author's experiences in the Second World War into an eloquent and deeply funny plea against butchery in the service of authority. Slaughterhouse-Five boasts the same imagination, humanity, and gleeful appreciation of the absurd found in Vonnegut's other works, but the book's basis in rock-hard, tragic fact gives it a unique poignancy--and humor."
114,Muriel Spark,The Prime of Miss Jean Brodie,F,9780241956779,1961,International,"Passionate, free-thinking and unconventional, Miss Brodie is a teacher who exerts a powerful influence over her group of 'special girls' at Marcia Blaine School. They are the Brodie set, the crème de la crème, each famous for something - Monica for mathematics, Eunice for swimming, Rose for sex - who are initiated into a world of adult games and extracurricular activities they will never forget. But the price they pay is their undivided loyalty . . . The Prime of Miss Jean Brodie is a brilliantly comic novel featuring one of the most unforgettable characters in all literature."
115,E.L. Doctorow,Ragtime,M,9780812978186,1975,International,"Published in 1975, Ragtime changed our very concept of what a novel could be. An extraordinary tapestry, Ragtime captures the spirit of America in the era between the turn of the century and the First World War. The story opens in 1906 in New Rochelle, New York, at the home of an affluent American family. One lazy Sunday afternoon, the famous escape artist Harry Houdini swerves his car into a telephone pole outside their house. And almost magically, the line between fantasy and historical fact, between real and imaginary characters, disappears. Henry Ford, Emma Goldman, J. P. Morgan, Evelyn Nesbit, Sigmund Freud, and Emiliano Zapata slip in and out of the tale, crossing paths with Doctorow's imagined family and other fictional characters, including an immigrant peddler and a ragtime musician from Harlem whose insistence on a point of justice drives him to revolutionary violence."
118,Daniel Defoe,Robinson Crusoe,M,9780199553976,1719,International,"Robinson Crusoe is a novel by Daniel Defoe, first published on 25 April 1719. This first edition credited the work's fictional protagonist Robinson Crusoe as its author, leading many readers to believe he was a real person and the book a travelogue of true incidents. It was published under the considerably longer original title The Life and Strange Surprizing Adventures of Robinson Crusoe, Of York, Mariner: Who lived Eight and Twenty Years, all alone in an un-inhabited Island on the Coast of America, near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, wherein all the Men perished but himself. With An Account how he was at last as strangely deliver'd by Pyrates. Epistolary, confessional, and didactic in form, the book is a fictional autobiography of the title character (whose birth name is Robinson Kreutznaer)—a castaway who spends years on a remote tropical island near Trinidad, encountering cannibals, captives, and mutineers before being rescued.The story is widely perceived to have been influenced by the life of Alexander Selkirk, a Scottish castaway who lived for four years on the Pacific island called ""Más a Tierra"" (in 1966 its name was changed to Robinson Crusoe Island), Chile. However, other possible sources have been put forward for the text. It is possible, for example, that Defoe was inspired by the Latin or English translations of Ibn Tufail's Hayy ibn Yaqdhan, an earlier novel also set on a desert island. Another source for Defoe's novel may have been Robert Knox's account of his abduction by the King of Ceylon in 1659 in ""An Historical Account of the Island Ceylon,"" Glasgow: James MacLehose and Sons (Publishers to the University), 1911."
121,Joseph Heller,Catch-22,M,9781451626650,1961,International,"Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved."
127,Elizabeth Bowen,The Death of the Heart,F,9780385720175,1938,International,"The Death of the Heart&lt;/b&gt; is perhaps Elizabeth Bowen's best-known book. As she deftly and delicately exposes the cruelty that lurks behind the polished surfaces of conventional society, Bowen reveals herself as a masterful novelist who combines a sense of humor with a devastating gift for divining human motivations.&lt;br&gt;&lt;br&gt;In this piercing story of innocence betrayed set in the thirties, the orphaned Portia is stranded in the sophisticated and politely treacherous world of her wealthy half-brother's home in London.There she encounters the attractive, carefree cad Eddie. To him, Portia is at once child and woman, and her fears her gushing love. To her, Eddie is the only reason to be alive. But when Eddie follows Portia to a sea-side resort, the flash of a cigarette lighter in a darkened cinema illuminates a stunning romantic betrayal--and sets in motion one of the most moving and desperate flights of the heart in modern literature."
128,Ernest Hemingway,A Farewell to Arms,M,9781476764528,1929,International,"The definitive edition of the classic novel of love during wartime, featuring all of the alternate endings: “Fascinating…serves as an artifact of a bygone craft, with handwritten notes and long passages crossed out, giving readers a sense of an author’s process” (&lt;I&gt;The New York Times&lt;/I&gt;).&lt;BR&gt;&lt;BR&gt;Written when Ernest Hemingway was thirty years old and lauded as the best American novel to emerge from World War I, &lt;I&gt;A Farewell to Arms &lt;/I&gt;is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield—weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. &lt;BR&gt;&lt;BR&gt;Ernest Hemingway famously said that he rewrote the ending to &lt;I&gt;A Farewell to Arms &lt;/I&gt;thirty-nine times to get the words right. This edition collects all of the alternative endings together for the first time, along with early drafts of other essential passages, offering new insight into Hemingway’s craft and creative process and the evolution of one of the greatest novels of the twentieth century. Featuring Hemingway’s own 1948 introduction to an illustrated reissue of the novel, a personal foreword by the author’s son Patrick Hemingway, and a new introduction by the author’s grandson Seán Hemingway, this edition of &lt;I&gt;A Farewell to Arms &lt;/I&gt;is truly a celebration."
130,D.H. Lawrence,Women in Love,M,9781514230404,1920,International,"The English novelist D.H. Lawrence was obviously conflicted about his sexuality. Effeminate men appear to have repulsed him, but like E.M. Forster and so many other men of his generation, he exhibited sexual attraction toward men of the working class. Women in Love (1920) is his most accomplished exploration of homosexual desire. Lawrence and his wife Frieda appear in the novel as Rupert Birkin and Ursula Brangwen. Rupert and Ursula's tumultuous friendships with the couple Gerald and Gudrun in the novel are based at least in part on the relationship Lawrence and his wife had with John Middleton-Murray and Katherine Mansfield. While writing the novel Lawrence also became sexually involved with a farmer from Cornwall by the name of William Henry Hocking. While Lawrence would later tell a friend, ""I believe the nearest I've come to perfect love was with a coal-miner when I was about sixteen,"" it is his relationships with Middleton-Murray and Hocking that form the basis of the homoerotic attraction in Women in Love. The final pages of the novel, both as fiction and and as statement on sexuality, are among the most moving in literature."
133,Jeffrey Eugenides,Middlesex,M,9780676975659,2002,International,"The first words of Jeffrey Eugenides exuberant and capacious novel &lt;b&gt;Middlesex&lt;/b&gt;&lt;i&gt; &lt;/i&gt;take us right to the heart of its unique narrator: “I was born twice: first, as a baby girl, on a remarkably smogless Detroit day in January of 1960; and then again, as a teenage boy, in an emergency room near Petoskey, Michigan, in August of 1974.”&lt;br&gt;&lt;i&gt;&lt;br&gt;&lt;/i&gt;&lt;b&gt;Middlesex&lt;/b&gt; is the story of Cal or Calliope Stephanides, a comic epic of a family’s American life, and the expansive history of a gene travelling down through time, starting with a rare genetic mutation. In 1922, Desdemona and Eleutherios (“Lefty”) Stephanides, brother and sister, leave the war-ravaged village of Bithynios in Asia Minor. With their parents dead and their village almost empty, Desdemona and Lefty have gradually been drawn closer together and fallen in love. As the Turks invade and the Greeks abandon the port of Smyrna, Lefty and Desdemona -- Callie’s grandparents -- escape to reinvent themselves as a married couple in America.&lt;br&gt;&lt;br&gt;Jeffrey Eugenides recounts the Stephanides family’s experiences over the next fifty years with gusto and delight. Upon their arrival in Detroit, Lefty goes to work at the Ford motor plant and the couple live with Desdemona’s cousin Sourmelina -- a woman with her own secrets -- and her bootlegging husband Jimmy Zizmo. After Jimmy disappears and the Stephanides’ son Milton is born, Lefty opens a speakeasy called the Zebra Room, and Desdemona goes to work tending silkworms for the Nation of Islam.&lt;br&gt;&lt;br&gt;Milton serves in the Navy in World War II and returns to marry his cousin Tessie, Sourmelina’s daughter, and the errant gene comes closer to expression. Milton takes over the family business and they have two children, Calliope and Chapter Eleven, but as their fortunes rise the city’s fall, and Detroit is torn by riots with the intensity of warfare. The family moves into a new home called Middlesex in a tony suburb, and Calliope, who had been a beautiful little girl, is sent to private school.&lt;br&gt;&lt;br&gt;So begins one of the strangest, most affecting adolescences in literature. As time passes Calliope gets taller and gawkier without developing into womanhood. Her classmates’ bodies change and they grow interested in boys; Callie remains flat-chested and waits in vain for her first period. And she has a curiously intense friendship with a girl at her school, the beautiful and confident Obscure Object of Desire.&lt;br&gt;&lt;br&gt;It is only when she has an accident at the Obscure Object’s summer house and is examined by an emergency room doctor that Callie and her parents discover that she isn’t like other girls. She is referred to an eminent New York doctor who, after extensive physical and psychological testing, pronounces her genetically male: 5-alpha-reductase deficiency syndrome caused her true genital characteristics to remain hidden until puberty. Callie is a hermaphrodite. Since she was raised as a girl, Dr. Luce recommends cosmetic surgery and hormone injections to make her seem more fully female.&lt;br&gt;&lt;br&gt;But Callie refuses to be something she is not. She runs away, cuts her hair short and hitch-hikes across the country to California, calling &lt;i&gt;him&lt;/i&gt;self Cal. And after some difficulties -- and performances in a strip club in San Francisco at the height of sexual liberation -- Cal learns to relish being both male and female. One more unexpected family tragedy, and some old revelations, await in Detroit.&lt;br&gt;&lt;br&gt;This animated and moving story is narrated by Cal Stephanides, now an American diplomat living in Berlin. While telling us about his past, he fumbles towards a romantic relationship with an artist who might be able to accept him for the unique person he is."
134,Philip Roth,Portnoy’s Complaint,M,9780679756453,1969,International,"The groundbreaking novel that propelled its author to literary stardom: told in a continuous monologue from patient to psychoanalyst, Philip Roth's masterpiece draws us into the turbulent mind of one lust-ridden young Jewish bachelor named Alexander Portnoy. Portnoy's Complaint n. [after Alexander Portnoy (1933- )] A disorder in which strongly-felt ethical and altruistic impulses are perpetually warring with extreme sexual longings, often of a perverse nature. Spielvogel says: 'Acts of exhibitionism, voyeurism, fetishism, auto-eroticism and oral coitus are plentiful; as a consequence of the patient's ""morality,"" however, neither fantasy nor act issues in genuine sexual gratification, but rather in overriding feelings of shame and the dread of retribution, particularly in the form of castration.' (Spielvogel, O. ""The Puzzled Penis,"" Internationale Zeitschrift für Psychoanalyse, Vol. XXIV, p. 909.) It is believed by Spielvogel that many of the symptoms can be traced to the bonds obtaining in the mother-child relationship."
135,Edith Wharton,The House of Mirth,F,9781840224191,1905,International,"The House of Mirth&lt;/em&gt; tells the story of Lily Bart, aged 29, beautiful, impoverished and in need of a rich husband to safeguard her place in the social elite, and to support her expensive habits - her clothes, her charities and her gambling. Unwilling to marry without both love and money, Lily becomes vulnerable to the kind of gossip and slander which attach to a girl who has been on the marriage market for too long.&lt;/p&gt;&lt;/div&gt; &lt;div&gt;&lt;p&gt;Wharton charts the course of Lily's life, providing, along the way, a wider picture of a society in transition, a rapidly changing New York where the old certainties of manners, morals and family have disappeared and the individual has become an expendable commodity.&lt;/p&gt;&lt;/div&gt; &lt;div&gt;&lt;p&gt;&lt;em&gt;The House of Mirth&lt;/em&gt; was published in October 1905 to widespread critical acclaim. It became an instant bestseller and is regarded today as one of Edith Wharton’s most accomplished and compelling social satires."
136,Dashiell Hammett,The Maltese Falcon,M,9780679722649,1929,International,The Maltese Falcon is Dashiell Hammetts most famous detective novel. Sam Spade is the private detective investigating the mysteries surrounding a jewel-encrusted falcon statuette. The novel was adapted for the screen many times but the 1941 film starring Humphrey Bogart and Mary Astor became a film noir classic and was nominated for three Academy Awards. It was ranked 56th on Modern Library's 100 Best Novels List
138,Ernest Hemingway,The Sun Also Rises,M,9780743297332,1926,International,"The quintessential novel of the Lost Generation, &lt;I &gt;The Sun Also Rises&lt;/I&gt; is one of Ernest Hemingway’s masterpieces and a classic example of his spare but powerful writing style.&lt;BR&gt;&lt;BR&gt;A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway’s most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. First published in 1926, &lt;I &gt;The Sun Also Rises&lt;/I&gt; helped establish Hemingway as one of the greatest writers of the twentieth century."
139,D.H. Lawrence,Sons and Lovers,M,9781492983866,1913,International,"The struggle for power at the heart of a family in conflict, the mysteries of sexual initiation, and the pain of irretrievable loss are the universal motifs with which D. H. Lawrence fashions one of the world’s most original autobiographical novels."
143,E.M. Forster,A Room with a View,M,9781548895044,1908,International,"This Edwardian social comedy explores love and prim propriety among an eccentric cast of characters assembled in an Italian pensione and in a corner of Surrey, England. A charming young Englishwoman, Lucy Honeychurch, faints into the arms of a fellow Britisher when she witnesses a murder in a Florentine piazza. Attracted to this man, George Emerson-who is entirely unsuitable and whose father just may be a Socialist-Lucy is soon at war with the snobbery of her class and her own conflicting desires. Back in England, she is courted by a more acceptable, if stifling, suitor and soon realizes she must make a startling decision that will decide the course of her future: she is forced to choose between convention and passion."
146,J.D. Salinger,The Catcher in The Rye,M,9787543321724,1951,International,"&lt;div&gt;&lt;div&gt;&lt;b&gt;The ""brilliant, funny, meaningful novel"" (&lt;i&gt;The New Yorker&lt;/i&gt;) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books.&lt;/b&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;&lt;div&gt;&lt;i&gt;""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth.""&lt;/i&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;&lt;div&gt;The hero-narrator of &lt;i&gt;The Catcher in the Rye&lt;/i&gt; is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.&lt;/div&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
147,Jack London,The Call of the Wild,M,9780486434230,1903,International,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep."
148,James Joyce,A Portrait of The Artist as A Young Man,M,9780486280509,1916,International,"This triumphant tale of survival, the greatest of Jack London's works, relates the adventures of Buck, half-St. Bernard and half-Scottish sheepdog, who is forced into the brutal life of a sled-dog during the heady days of the Alaska gold rush. Set in the harsh and unforgiving environment of the Far North, the story follows Buck as he grows daily in strength, savagery, and cunning, adapting to his hostile circumstances by responding to the stirring of his primitive ancestral traits. This unabridged edition offers young readers a fine introduction to the excitement of the classic adventure novel."
149,John Bunyan,Pilgrim's Progress,M,9781936830213,1678,International,"Many editions of John Bunyan's Pilgrim's Progress only have the first half, which follows the journey of Christian, written c. 1678. They omit the second part, written c. 1684, where Christian's wife, Christiana, follows her husband. This edition, however, has both parts together as a single volume. Moreover, it contains the original illustrations by Frederick Barnard (which were engraved by the Dalziel brothers) and an index of Bible references Bunyan cited. These features allow the modern reader to experience the full weight of this classic allegory. Bunyan began writing this work while imprisoned for not obeying the state church in England. Still, Bunyan considered life's trials to be mild compared to the prospect of eternal separation from God. He reminds us that we are only pilgrims here; our home is elsewhere. To get there, we must mind our step."
150,Jonathan Swift,Gulliver's Travels,M,9781535298674,1726,International,"Through the eyes of Lemuel Gulliver, Swift’s unforgettable satire takes readers into worlds formerly unimagined. Visit four strange and remarkable lands: Lilliput, where Gulliver seems a giant among a race of tiny people; Brobdingnag, the opposite, where the natives are giants and Gulliver puny; the ruined yet magical country of Laputa; and the home of the Houyhnhnms, gentle horses far superior to the ugly humanoid Yahoos who share their universe."
151,Willa Cather,Death Comes for The Archbishop,F,9780679728894,1927,International,"Willa Cather's best known novel is an epic--almost mythic--story of a single human life lived simply in the silence of the southwestern desert. In 1851 Father Jean Marie Latour comes to serve as the Apostolic Vicar to New Mexico. What he finds is a vast territory of red hills and tortuous arroyos, American by law but Mexican and Indian in custom and belief. In the almost forty years that follow, Latour spreads his faith in the only way he knows--gently, all the while contending with an unforgiving landscape, derelict and sometimes openly rebellious priests, and his own loneliness. Out of these events, Cather gives us an indelible vision of life unfolding in a place where time itself seems suspended."
152,William Faulkner,As I Lay Dying,M,9780679732259,1930,International,"“I set out deliberately to write a tour-de-force. Before I ever put pen to paper and set down the first word I knew what the last word would be and almost where the last period would fall.” —William Faulkner on As I Lay Dying As I Lay Dying is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members—including Addie herself—as well as others the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, As I Lay Dying is a true 20th-century classic."
153,William Golding,Lord of The Flies,M,9780571084838,1954,International,"The tale of a party of shipwrecked schoolboys, marooned on a coral island, who at first enjoy the freedom of the situation but soon divide into fearsome gangs which turn the paradise island into a nightmare of panic and death."
154,William Styron,Sophie’s Choice,M,9780679736370,1979,International,Three stories are told: a young Southerner wants to become a writer; a turbulent love-hate affair between a brilliant Jew and a beautiful Polish woman; and of an awful wound in that woman's past--one that impels both Sophie and Nathan toward destruction.
155,Laurence Sterne,Tristram Shandy,M,9780199532896,1759,International,"Sterne's great comic novel is the fictional autobiography of Tristram Shandy, a hero who fails even to get born in the first two volumes. It contains some of the best-known and best-loved characters in English literature, including Uncle Toby, Corporal Trim, Parson Yorick, Dr Slop and the Widow Wadman. Beginning with Tristram's conception, the novel recounts his progress in 'this scurvy and disasterous world of ours', including his misnaming during baptism and his accidental circumcision by a falling sash-window at the age of five; unsurprisingly, Tristram declares that he has been 'the continual sport of what the world calls Fortune'. Tristram Shandy also offers the narrator's 'opinions', at once facetious and highly serious, on books and learning in an age of rapidly expanding print culture, and on the changing understanding of the roles of writers and readers alike."
156,Pierre Choderlos De Laclos,Dangerous Liaisons,M,9780140449570,1782,International,"Published just years before the French Revolution, Laclos's great novel of moral and emotional depravity is a disturbing and ultimately damning portrayal of a decadent society. Aristocrats and ex-lovers Marquise de Merteuil and Vicomte de Valmont embark on a sophisticated game of seduction and manipulation to bring amusement to their jaded lives. While Merteuil challenges Valmont to seduce an innocent convent girl, he is also occupied with the conquest of a virtuous married woman. Eventually their human pawns respond, and the consequences prove to be more serious--and deadly--than the players could have ever predicted."
